ticket_id,customer_name,subject,description,actual_priority,channel,timestamp,mrr
#1001,Acme Commerce,"Shopify webhook delivery failures","We're experiencing intermittent webhook delivery failures from Shopify to our system. The webhooks are being sent but not processed correctly. This started happening after the recent Shopify API update. We need to understand if this is a compatibility issue on our end or a configuration problem.",P2,email,2025-11-01 10:15,3200
#1002,Beta Retail,"WooCommerce plugin conflict causing order duplication","After installing the latest update, we're seeing duplicate orders being created in our system. This appears to be a conflict between the WooCommerce integration and another plugin. We've temporarily disabled the conflicting plugin, but need a permanent solution to avoid order processing errors.",P1,chat,2025-11-01 14:30,5800
#1003,Gamma Solutions,"API authentication errors during peak hours","Our API calls are failing with 401 authentication errors during peak traffic periods (2-4 PM EST). The credentials are correct and work fine during off-peak hours. This suggests a rate limiting or token refresh issue. Can you investigate the API endpoint stability?",P2,email,2025-11-02 09:45,4500
#1004,Delta Commerce,"Multi-store sync delays affecting inventory","We manage 5 Shopify stores and the inventory sync between them is experiencing significant delays (up to 2 hours). This is causing overselling issues when products are purchased across multiple stores. The sync worked fine last week, so something changed recently.",P1,email,2025-11-02 16:20,7200
#1005,Epsilon Retail,"Shopify webhook payload parsing errors","We're receiving webhook notifications from Shopify, but the payload structure seems incorrect. The order data is missing critical fields like shipping address and line items. This is preventing automated order processing. Please verify the webhook configuration and payload format.",P2,chat,2025-11-03 11:00,3800
#1006,Zeta Store,"API timeout errors on bulk product imports","When importing large product catalogs (500+ SKUs), we're getting timeout errors after approximately 200 products. The API response times are acceptable for smaller batches. We need to either increase the timeout limit or implement batch processing recommendations.",P2,email,2025-11-03 15:45,5200
#1007,Eta Commerce,"Stripe webhook not processing refunds","Our Stripe webhook for refund events stopped working yesterday. Refunds are being processed in Stripe but not reflected in our system. We've verified the webhook endpoint is accessible and the secret key is correct. This is causing reconciliation issues.",P1,email,2025-11-04 08:30,6400
#1008,Theta Retail,"PayPal webhook delivery failures","PayPal webhooks are failing to deliver to our endpoint. We're seeing 500 errors in the PayPal webhook logs. The endpoint was working fine until we updated our SSL certificate last week. Need help troubleshooting the webhook endpoint configuration.",P1,phone,2025-11-04 13:15,4900
#1009,Iota Solutions,"Refund processing stuck in pending state","Several refunds from last week are stuck in pending state. The payment gateway shows them as completed, but our system still shows pending. This is affecting our financial reporting and customer satisfaction. We need these manually processed or the automation fixed.",P2,email,2025-11-05 10:00,3600
#1010,Kappa Commerce,"Payment gateway configuration causing declined transactions","After updating our payment gateway settings, we're seeing an unusually high number of legitimate transactions being declined. The gateway logs show the transactions are valid, but our integration is rejecting them. Need to review the gateway configuration and validation rules.",P1,email,2025-11-05 14:45,6700
#1011,Lambda Retail,"Shipping webhook not updating order status","Orders are being fulfilled and shipped, but the shipping webhook from our fulfillment partner isn't updating the order status in our system. Customers are receiving tracking information directly from the carrier but not from our platform. This is causing support ticket volume to increase.",P2,chat,2025-11-06 09:20,4100
#1012,Mu Solutions,"Inventory sync causing negative stock levels","Our inventory sync is creating negative stock levels for several products. The sync appears to be processing updates out of order, causing race conditions. We've had to manually correct inventory multiple times this week. Need a fix to ensure proper sequencing of inventory updates.",P1,email,2025-11-06 16:00,5500
#1013,Nu Commerce,"Order API timeout during Black Friday preparation","We're preparing for Black Friday and testing our order processing capacity. The order API is timing out when processing more than 50 concurrent orders. This is concerning given our expected traffic volume. We need to understand the API rate limits and scaling options.",P1,phone,2025-11-07 11:30,8900
#1014,Xi Retail,"GA4 e-commerce tracking not capturing conversions","Our Google Analytics 4 e-commerce tracking stopped capturing conversion events last week. The pageview events are working, but purchase and add-to-cart events aren't being sent. We've verified the GA4 measurement ID is correct. This is affecting our marketing attribution.",P2,email,2025-11-08 10:45,3300
#1015,Omicron Solutions,"UTM parameter setup for multi-channel campaigns","We're running campaigns across multiple channels and need help setting up UTM parameters correctly. Currently, our analytics aren't properly attributing conversions to specific campaigns. We want to ensure UTM parameters are being captured and passed through the entire customer journey.",P3,email,2025-11-08 15:20,2800
#1016,Pi Commerce,"This is the 3rd time this month - orders not syncing","Our Shopify orders stopped syncing at 3am. This is the second major incident this month and we're losing sales. We're currently evaluating alternative solutions. Need this resolved immediately or we'll have to escalate to executive review.",P1,email,2025-11-09 09:45,8500
#1017,Rho Retail,"Unacceptable downtime - payment processing down","The payment processing has been down for 4 hours during our peak sales period. This is completely unacceptable and we've lost thousands in revenue. We're disappointed with the service reliability and considering our options. This needs immediate attention from your engineering team.",P1,phone,2025-11-10 14:30,11200
#1018,Sigma Solutions,"Frustrated with recurring API failures","We've had 5 API failures in the past two weeks, each causing order processing delays. This is impacting our customer experience and our team's confidence in the platform. We need a root cause analysis and a commitment to improved reliability, otherwise we'll be forced to evaluate alternatives.",P2,email,2025-11-11 10:15,9200
#1019,Tau Commerce,"Inventory sync issues - evaluating alternatives","The inventory sync problems we reported last month are still occurring. We've lost sales due to overselling and our operations team is spending hours manually fixing inventory. We're actively evaluating alternative solutions that can provide more reliable inventory management. This is our final attempt to resolve this.",P2,email,2025-11-12 11:00,7800
#1020,Upsilon Retail,"Disappointed with support response times","We've been experiencing webhook delivery issues for over a week and the support response has been slow. This is the third time we've had to escalate a ticket this quarter. We're disappointed with the service quality and need immediate resolution, otherwise we'll need to discuss our contract renewal.",P1,chat,2025-11-13 13:45,10100
#1021,Phi Solutions,"Service reliability concerns - considering migration","After multiple incidents this quarter, we're seriously concerned about the platform's reliability. The recent data sync failures have affected our reporting and compliance. We're currently evaluating migration to a more stable platform. We'd like to discuss what can be done to restore our confidence.",P2,email,2025-11-14 09:20,9600
#1022,Chi Commerce,"Pricing for additional user seats","Hi, our team is growing and we need to add approximately 50 more user accounts to our current plan. What would be the pricing for this expansion? Also interested in understanding if there are volume discounts available for larger teams.",P2,email,2025-11-15 14:20,4200
#1023,Psi Retail,"Enterprise plan features and pricing inquiry","We're exploring upgrading to an enterprise plan to get access to advanced analytics, dedicated support, and custom integrations. Can you provide details on enterprise pricing, SLA guarantees, and what custom requirements you can accommodate? We're looking to make a decision by end of month.",P2,email,2025-11-16 10:30,6800
#1024,Omega Solutions,"Dedicated support SLA and pricing quote","We're interested in upgrading to a plan with dedicated support and guaranteed response times. Our current support experience has been good, but we need faster escalation paths for critical issues. Can you provide pricing for a dedicated support SLA with 1-hour response time for P1 issues?",P3,email,2025-11-17 15:00,5400
#1025,Alpha Commerce,"Custom integration requirements and pricing","We have some unique requirements for integrating with our proprietary ERP system. We'd like to understand if you offer custom integration services and what the pricing would be. We're also interested in API access for building our own integrations. Can we schedule a call to discuss?",P2,chat,2025-11-18 11:45,7500
